person_name,role,credits,movies,tv_shows,top_billed_credits,countries,first_year,last_year
Laura Bailey,actor,17,13.0,4.0,8.0,2,2008,2018
Diana Kaarina,actor,17,11.0,6.0,3.0,2,2010,2020
Asrani,actor,17,17.0,0.0,1.0,1,1972,2015
Fred Armisen,actor,17,13.0,4.0,7.0,3,2003,2020
Jackie Shroff,actor,17,17.0,0.0,13.0,1,1988,2019
Saif Ali Khan,actor,17,16.0,1.0,16.0,1,1993,2019
Kate Higgins,actor,17,13.0,4.0,9.0,3,2010,2017
Manoj Joshi,actor,16,16.0,0.0,0.0,1,2006,2019
Michela Luci,actor,16,8.0,8.0,13.0,2,2018,2020
Rajpal Yadav,actor,16,16.0,0.0,2.0,1,2002,2017
Robb Wells,actor,16,11.0,5.0,15.0,2,1998,2020
Rajesh Sharma,actor,16,15.0,1.0,5.0,1,2011,2020
Seth Rogen,actor,16,12.0,4.0,11.0,2,2007,2019
Tomokazu Sugita,actor,16,4.0,12.0,1.0,1,2012,2020
Amrish Puri,actor,16,16.0,0.0,6.0,2,1975,2004
Hassan Hosny,actor,16,16.0,0.0,10.0,1,2004,2019
Michael Palin,actor,16,11.0,5.0,0.0,2,1972,2017
Mamoru Miyano,actor,16,5.0,11.0,6.0,1,2006,2019
Yuichi Nakamura,actor,16,2.0,14.0,4.0,1,2008,2020
Morgan Freeman,actor,16,13.0,3.0,13.0,2,1990,2019
Danny Trejo,actor,16,15.0,1.0,3.0,3,2001,2019
Marcus Raboy,director,16,15.0,1.0,0.0,1,2012,2020
Antonio Banderas,actor,16,13.0,3.0,9.0,4,1993,2019
Aamir Khan,actor,16,16.0,0.0,14.0,1,1990,2017
Vijay Raaz,actor,15,15.0,0.0,5.0,1,2002,2019
Sanjay Mishra,actor,15,15.0,0.0,4.0,1,2005,2020
Pankaj Tripathi,actor,15,14.0,1.0,6.0,2,2010,2020
Adil Hussain,actor,15,14.0,1.0,5.0,3,2014,2020
Yoshimasa Hosoya,actor,15,1.0,14.0,6.0,1,2010,2020
John Paul Tremblay,actor,15,10.0,5.0,15.0,1,1998,2020
Sam Vincent,actor,15,7.0,8.0,7.0,3,2010,2020
Sean Astin,actor,15,9.0,6.0,3.0,2,2002,2020
Manoj Bajpayee,actor,15,15.0,0.0,9.0,2,2000,2020
Jay Karas,director,15,15.0,0.0,0.0,1,2012,2020
Eric Idle,actor,15,10.0,5.0,7.0,2,1972,2014
Molly Shannon,actor,15,13.0,2.0,3.0,2,1998,2020
Tinnu Anand,actor,15,15.0,0.0,2.0,1,1990,2019
Hiroshi Kamiya,actor,15,2.0,13.0,4.0,2,2008,2020
Katrina Kaif,actor,15,15.0,0.0,10.0,1,2003,2018
Alessandro Juliani,actor,15,9.0,6.0,1.0,3,2015,2020
Kathleen Barr,actor,14,6.0,8.0,3.0,2,2010,2019
Shakti Kapoor,actor,14,14.0,0.0,0.0,1,1982,2020
Johnny Depp,actor,14,14.0,0.0,11.0,2,1993,2016
Samuel West,actor,14,12.0,2.0,10.0,2,1992,2017
Sachin Khedekar,actor,14,14.0,0.0,6.0,1,2002,2019
Keith David,actor,14,9.0,5.0,5.0,3,1986,2020
Terry Jones,actor,14,9.0,5.0,4.0,2,1972,2014
Kulbhushan Kharbanda,actor,14,14.0,0.0,0.0,1,1983,2018
Pavan Malhotra,actor,14,14.0,0.0,4.0,2,1997,2017
Maya Rudolph,actor,14,13.0,1.0,5.0,3,2004,2020
Miyuki Sawashiro,actor,14,4.0,10.0,1.0,1,2010,2020
Erin Mathews,actor,14,9.0,5.0,11.0,4,2011,2020
Ian James Corlett,actor,14,9.0,5.0,1.0,3,2013,2020
Tabitha St. Germain,actor,14,9.0,5.0,2.0,2,2010,2018
Jun Fukuyama,actor,14,1.0,13.0,7.0,1,2008,2020
Ben Kingsley,actor,14,13.0,1.0,7.0,7,1993,2019
Alfred Molina,actor,14,13.0,1.0,0.0,3,1981,2020
Radhika Apte,actor,14,12.0,2.0,10.0,2,2010,2020
Kari Wahlgren,actor,14,7.0,7.0,0.0,3,2004,2021
Sharat Saxena,actor,14,14.0,0.0,0.0,1,1989,2015
Sanjay Dutt,actor,14,14.0,0.0,13.0,1,1993,2020
Ranvir Shorey,actor,14,13.0,1.0,8.0,1,2004,2020
Brian Drummond,actor,14,6.0,8.0,3.0,6,2011,2020
Laurence Fishburne,actor,14,12.0,2.0,7.0,4,1988,2018
Cathy Garcia-Molina,director,13,13.0,0.0,0.0,1,2008,2019
Mohnish Bahl,actor,13,13.0,0.0,4.0,1,1989,2019
Gerard Butler,actor,13,11.0,2.0,10.0,3,2004,2019
Abhishek Bachchan,actor,13,13.0,0.0,12.0,1,2002,2020
Terry Gilliam,actor,13,9.0,4.0,6.0,2,1974,2014
Rishi Kapoor,actor,13,13.0,0.0,11.0,1,1973,2019
Cindy Robinson,actor,13,11.0,2.0,1.0,3,2011,2016
Eric Peterson,actor,13,7.0,6.0,9.0,2,2018,2020
Irrfan Khan,actor,13,12.0,1.0,10.0,2,2006,2017
Vipin Sharma,actor,13,13.0,0.0,1.0,1,2007,2018
Seema Biswas,actor,13,12.0,1.0,4.0,3,2002,2020
Jim Broadbent,actor,13,11.0,2.0,6.0,5,1992,2018
Ahmed Helmy,actor,13,13.0,0.0,13.0,1,2004,2019
Guy Pearce,actor,13,12.0,1.0,8.0,5,2002,2019
Graham Chapman,actor,13,8.0,5.0,10.0,2,1972,2014
Julie Lemieux,actor,13,6.0,7.0,2.0,2,2014,2020
Saori Hayami,actor,13,4.0,9.0,2.0,1,2010,2019
Ray Liotta,actor,13,13.0,0.0,5.0,3,1990,2020
Kevin Michael Richardson,actor,13,5.0,8.0,2.0,1,2010,2020
Fumiko Orikasa,actor,13,5.0,8.0,5.0,2,2004,2020
Shahid Kapoor,actor,13,13.0,0.0,13.0,1,2003,2019
